originID,jobID,cores,memory,CPU time,time,Npoints,nT,Nwout,nE,nM,nL,nx,Nparams,optimizer,Nepochs,Ncev/w,Ncev,grad,shuffle,stepsize,Nshots,RMSE tra,RMSE val,RMSE tes,RMSE ftes
,13240,30,4.59 GB (estimated maximum),3-03:43:58,04:02:31,1000,20,5,2,3,5,3,65,Adam,,,,False,True,0.001,0,0.09211764641903424,0.11292553901113943,0.08637278600083005,0.08370516808510269
,13241,30,4.61 GB (estimated maximum),3-03:57:09,04:04:04,1000,20,5,2,3,5,3,65,Adam,,,,False,True,0.001,0,0.06691649863301113,0.06364405710082886,0.06731052574678639,0.07311064939423498
,13242,30,4.61 GB (estimated maximum),3-04:18:32,04:04:18,1000,20,5,2,3,5,3,65,Adam,,,,False,True,0.001,0,0.06864768835226243,0.0762884828364908,0.08283329202216623,0.07415871896118677
,13243,30,4.63 GB (estimated maximum),3-04:01:26,04:03:20,1000,20,5,2,3,5,3,65,Adam,,,,False,True,0.001,0,0.08021016811536978,0.0900072080594645,0.07749717785419241,0.0748698416778984
,13244,30,4.61 GB (estimated maximum),3-04:21:25,04:05:11,1000,20,5,2,3,5,3,65,Adam,399,,,False,True,0.001,0,0.04929270405332588,0.05447054887420981,0.0461121104204287,0.05438789521043726
,13245,30,4.68 GB (estimated maximum),3-04:15:54,04:03:42,1000,20,5,2,3,5,3,65,Adam,,,,False,True,0.001,0,0.07986805308814254,0.09501740882281792,0.07565548250673187,0.0790808769005398
,13247,30,4.64 GB (estimated maximum),3-04:22:11,04:04:35,1000,20,5,2,3,5,3,65,Adam,,,,False,True,0.001,0,0.054103711886656566,0.08128564921522576,0.08670551149908373,0.06936565731256104
,13248,30,4.64 GB (estimated maximum),3-04:35:17,04:08:28,1000,20,5,2,3,5,3,65,Adam,,,,False,True,0.001,0,0.0635016658053199,0.07070722310080031,0.06676088270572528,0.07245898986293181
,13249,30,4.60 GB (estimated maximum),3-04:11:36,04:04:15,1000,20,5,2,3,5,3,65,Adam,,,,False,True,0.001,0,0.0908659959842145,0.116781250016976,0.09730810343601652,0.08836016317922525
,13250,30,4.66 GB (estimated maximum),3-04:00:44,04:03:22,1000,20,5,2,3,5,3,65,Adam,,,,False,True,0.001,0,0.05684897599634986,0.05671224914100518,0.05409820348595487,0.0611323438242535
,13290,54,9.00 GB (estimated maximum),5-05:44:57,04:04:11,1000,20,5,2,3,5,3,65,Adam,,,,False,True,0.001,0,0.04929270405332588,0.05447054887420981,0.0461121104204287,0.05438789521043726
