#     it    Ltra    Lval
     1   0.1544   0.1644
     2   0.1514   0.1564
     3   0.1434   0.1479
     4   0.1119   0.1289
     5   0.1090   0.1247
     6   0.1078   0.1207
     7   0.1072   0.1204
     8   0.1068   0.1197
     9   0.1053   0.1162
    10   0.1045   0.1162
    11   0.1023   0.1176
    12   0.1013   0.1200
    13   0.1006   0.1236
    14   0.0998   0.1220
    15   0.0969   0.1178
    16   0.0956   0.1162
    17   0.0915   0.1220
    18   0.0895   0.1252
    19   0.0858   0.1193
    20   0.0837   0.1101
    21   0.0816   0.1048
    22   0.0768   0.1018
    23   0.0727   0.0917
    24   0.0710   0.0895
    25   0.0637   0.0774
    26   0.0609   0.0816
    27   0.0584   0.0796
    28   0.0545   0.0818
    29   0.0528   0.0825
    30   0.0476   0.0831
    31   0.0438   0.0784
    32   0.0394   0.0651
    33   0.0354   0.0616
    34   0.0337   0.0577
    35   0.0318   0.0543
    36   0.0310   0.0496
    37   0.0299   0.0492
    38   0.0291   0.0495
    39   0.0274   0.0510
    40   0.0239   0.0552
    41   0.0212   0.0528
    42   0.0196   0.0528
    43   0.0162   0.0483
    44   0.0153   0.0473
    45   0.0144   0.0478
    46   0.0135   0.0480
    47   0.0127   0.0385
    48   0.0120   0.0401
    49   0.0118   0.0412
    50   0.0113   0.0394
    51   0.0111   0.0366
    52   0.0108   0.0343
    53   0.0106   0.0347
    54   0.0105   0.0344
    55   0.0105   0.0341
    56   0.0104   0.0332
    57   0.0104   0.0329
    58   0.0103   0.0316
    59   0.0102   0.0302
    60   0.0100   0.0288
    61   0.0097   0.0240
    62   0.0096   0.0229
    63   0.0095   0.0225
    64   0.0095   0.0225
    65   0.0094   0.0237
    66   0.0094   0.0245
    67   0.0093   0.0258
    68   0.0093   0.0264
    69   0.0092   0.0265
    70   0.0092   0.0255
    71   0.0091   0.0248
    72   0.0091   0.0241
    73   0.0090   0.0242
    74   0.0090   0.0238
    75   0.0090   0.0235
    76   0.0090   0.0233
    77   0.0090   0.0235
    78   0.0089   0.0242
    79   0.0089   0.0243
    80   0.0089   0.0241
    81   0.0089   0.0236
    82   0.0089   0.0231
    83   0.0088   0.0229
    84   0.0088   0.0219
    85   0.0087   0.0220
    86   0.0087   0.0220
    87   0.0087   0.0221
    88   0.0087   0.0225
    89   0.0087   0.0225
    90   0.0086   0.0224
    91   0.0086   0.0224
    92   0.0085   0.0214
    93   0.0085   0.0209
    94   0.0084   0.0208
    95   0.0084   0.0212
    96   0.0083   0.0219
    97   0.0083   0.0225
    98   0.0083   0.0229
    99   0.0083   0.0229
   100   0.0083   0.0230
   101   0.0083   0.0230
   102   0.0083   0.0229
   103   0.0083   0.0226
   104   0.0083   0.0229
   105   0.0083   0.0220
   106   0.0082   0.0212
   107   0.0082   0.0207
   108   0.0082   0.0201
   109   0.0082   0.0205
   110   0.0082   0.0206
   111   0.0081   0.0205
   112   0.0081   0.0206
   113   0.0081   0.0198
   114   0.0081   0.0197
   115   0.0081   0.0196
   116   0.0081   0.0195
   117   0.0081   0.0193
   118   0.0081   0.0194
   119   0.0081   0.0194
   120   0.0081   0.0194
   121   0.0081   0.0197
   122   0.0081   0.0197
   123   0.0081   0.0199
   124   0.0081   0.0198
   125   0.0081   0.0198
   126   0.0081   0.0198
   127   0.0081   0.0197
   128   0.0081   0.0198
   129   0.0080   0.0201
   130   0.0080   0.0204
   131   0.0080   0.0212
   132   0.0080   0.0213
   133   0.0080   0.0211
   134   0.0080   0.0208
   135   0.0080   0.0207
   136   0.0080   0.0206
   137   0.0080   0.0207
   138   0.0080   0.0208
   139   0.0080   0.0210
   140   0.0080   0.0210
   141   0.0080   0.0209
   142   0.0080   0.0207
   143   0.0080   0.0207
   144   0.0079   0.0206
   145   0.0079   0.0206
   146   0.0079   0.0206
   147   0.0079   0.0207
   148   0.0079   0.0207
   149   0.0079   0.0209
   150   0.0079   0.0210
   151   0.0079   0.0210
   152   0.0079   0.0210
   153   0.0079   0.0208
   154   0.0079   0.0206
   155   0.0079   0.0200
   156   0.0079   0.0199
   157   0.0079   0.0196
   158   0.0079   0.0195
   159   0.0079   0.0194
   160   0.0079   0.0195
   161   0.0079   0.0196
   162   0.0079   0.0197
   163   0.0079   0.0197
   164   0.0079   0.0198
   165   0.0079   0.0196
   166   0.0079   0.0195
   167   0.0079   0.0195
   168   0.0079   0.0195
   169   0.0079   0.0192
   170   0.0078   0.0194
   171   0.0078   0.0195
   172   0.0078   0.0194
   173   0.0078   0.0193
   174   0.0078   0.0193
   175   0.0078   0.0195
   176   0.0078   0.0198
   177   0.0078   0.0202
   178   0.0078   0.0202
   179   0.0078   0.0205
   180   0.0078   0.0204
   181   0.0077   0.0204
   182   0.0077   0.0198
   183   0.0077   0.0197
   184   0.0076   0.0197
   185   0.0076   0.0196
   186   0.0076   0.0195
   187   0.0076   0.0193
   188   0.0075   0.0187
   189   0.0075   0.0185
   190   0.0075   0.0181
   191   0.0075   0.0176
   192   0.0074   0.0174
   193   0.0074   0.0177
   194   0.0074   0.0175
   195   0.0074   0.0173
   196   0.0074   0.0172
   197   0.0074   0.0168
   198   0.0073   0.0165
   199   0.0073   0.0160
   200   0.0073   0.0160
   201   0.0073   0.0158
   202   0.0073   0.0154
   203   0.0073   0.0151
   204   0.0073   0.0149
   205   0.0072   0.0147
   206   0.0072   0.0146
   207   0.0072   0.0145
   208   0.0072   0.0145
   209   0.0072   0.0145
   210   0.0072   0.0146
   211   0.0072   0.0149
   212   0.0072   0.0165
   213   0.0071   0.0166
   214   0.0071   0.0162
   215   0.0071   0.0163
   216   0.0070   0.0166
   217   0.0070   0.0169
   218   0.0069   0.0170
   219   0.0069   0.0168
   220   0.0069   0.0169
   221   0.0069   0.0170
   222   0.0069   0.0170
   223   0.0068   0.0176
   224   0.0068   0.0180
   225   0.0067   0.0179
   226   0.0067   0.0181
   227   0.0067   0.0176
   228   0.0067   0.0177
   229   0.0067   0.0176
   230   0.0067   0.0175
   231   0.0067   0.0174
   232   0.0067   0.0174
   233   0.0067   0.0171
   234   0.0066   0.0170
   235   0.0066   0.0180
   236   0.0066   0.0189
   237   0.0065   0.0193
   238   0.0065   0.0192
   239   0.0065   0.0194
   240   0.0065   0.0201
   241   0.0065   0.0198
   242   0.0065   0.0196
   243   0.0065   0.0195
   244   0.0065   0.0194
   245   0.0065   0.0190
   246   0.0065   0.0185
   247   0.0065   0.0184
   248   0.0064   0.0187
   249   0.0064   0.0187
   250   0.0064   0.0189
   251   0.0064   0.0191
   252   0.0064   0.0195
   253   0.0064   0.0194
   254   0.0064   0.0194
   255   0.0064   0.0194
   256   0.0064   0.0193
   257   0.0064   0.0193
   258   0.0064   0.0194
   259   0.0064   0.0195
   260   0.0064   0.0194
   261   0.0064   0.0194
   262   0.0064   0.0196
   263   0.0064   0.0201
   264   0.0064   0.0204
   265   0.0064   0.0205
   266   0.0064   0.0210
   267   0.0064   0.0210
   268   0.0064   0.0209
   269   0.0064   0.0211
   270   0.0064   0.0211
   271   0.0063   0.0208
   272   0.0063   0.0209
   273   0.0063   0.0210
   274   0.0063   0.0209
   275   0.0063   0.0209
   276   0.0063   0.0208
   277   0.0063   0.0208
   278   0.0063   0.0207
   279   0.0063   0.0207
   280   0.0063   0.0206
   281   0.0063   0.0206
   282   0.0063   0.0205
   283   0.0063   0.0203
   284   0.0063   0.0202
   285   0.0063   0.0202
   286   0.0063   0.0202
   287   0.0063   0.0202
   288   0.0063   0.0203
   289   0.0063   0.0204
   290   0.0063   0.0204
   291   0.0063   0.0205
   292   0.0063   0.0204
   293   0.0063   0.0204
   294   0.0063   0.0204
   295   0.0063   0.0204
   296   0.0063   0.0204
   297   0.0063   0.0204
   298   0.0063   0.0206
   299   0.0063   0.0207
   300   0.0063   0.0208
   301   0.0063   0.0208
   302   0.0063   0.0208
   303   0.0063   0.0208
   304   0.0063   0.0208
