#     it    Ltra    Lval
     1   0.1889   0.1845
     2   0.1848   0.1753
     3   0.1622   0.1616
     4   0.1563   0.1595
     5   0.1426   0.1447
     6   0.1185   0.1020
     7   0.1087   0.0945
     8   0.0915   0.0942
     9   0.0864   0.0977
    10   0.0847   0.1013
    11   0.0827   0.0982
    12   0.0746   0.0968
    13   0.0714   0.0933
    14   0.0677   0.0916
    15   0.0594   0.0910
    16   0.0565   0.0917
    17   0.0524   0.0937
    18   0.0486   0.0923
    19   0.0440   0.0831
    20   0.0416   0.0769
    21   0.0389   0.0676
    22   0.0348   0.0518
    23   0.0344   0.0446
    24   0.0337   0.0442
    25   0.0333   0.0446
    26   0.0328   0.0445
    27   0.0318   0.0467
    28   0.0316   0.0471
    29   0.0314   0.0475
    30   0.0313   0.0474
    31   0.0311   0.0458
    32   0.0308   0.0424
    33   0.0306   0.0400
    34   0.0304   0.0392
    35   0.0302   0.0380
    36   0.0297   0.0359
    37   0.0290   0.0320
    38   0.0284   0.0283
    39   0.0278   0.0269
    40   0.0273   0.0258
    41   0.0270   0.0255
    42   0.0257   0.0250
    43   0.0247   0.0264
    44   0.0243   0.0259
    45   0.0234   0.0241
    46   0.0227   0.0216
    47   0.0219   0.0202
    48   0.0204   0.0188
    49   0.0180   0.0175
    50   0.0164   0.0206
    51   0.0161   0.0208
    52   0.0156   0.0205
    53   0.0155   0.0210
    54   0.0155   0.0208
    55   0.0154   0.0200
    56   0.0152   0.0198
    57   0.0151   0.0201
    58   0.0151   0.0193
    59   0.0147   0.0190
    60   0.0145   0.0195
    61   0.0143   0.0187
    62   0.0140   0.0189
    63   0.0136   0.0186
    64   0.0135   0.0183
    65   0.0134   0.0167
    66   0.0133   0.0174
    67   0.0132   0.0179
    68   0.0132   0.0178
    69   0.0131   0.0172
    70   0.0131   0.0170
    71   0.0130   0.0168
    72   0.0130   0.0165
    73   0.0130   0.0163
    74   0.0130   0.0162
    75   0.0130   0.0159
    76   0.0129   0.0158
    77   0.0129   0.0156
    78   0.0129   0.0155
    79   0.0127   0.0153
    80   0.0127   0.0152
    81   0.0126   0.0145
    82   0.0125   0.0144
    83   0.0122   0.0137
    84   0.0120   0.0132
    85   0.0119   0.0128
    86   0.0116   0.0124
    87   0.0115   0.0121
    88   0.0115   0.0116
    89   0.0112   0.0117
    90   0.0111   0.0125
    91   0.0105   0.0121
    92   0.0103   0.0120
    93   0.0101   0.0124
    94   0.0100   0.0123
    95   0.0098   0.0106
    96   0.0098   0.0111
    97   0.0097   0.0111
    98   0.0097   0.0110
    99   0.0097   0.0114
   100   0.0097   0.0115
   101   0.0097   0.0115
   102   0.0097   0.0115
   103   0.0096   0.0114
   104   0.0096   0.0114
   105   0.0096   0.0116
   106   0.0096   0.0111
   107   0.0096   0.0113
   108   0.0095   0.0111
   109   0.0095   0.0112
   110   0.0095   0.0114
   111   0.0095   0.0112
   112   0.0095   0.0112
   113   0.0095   0.0114
   114   0.0095   0.0114
   115   0.0095   0.0115
   116   0.0095   0.0117
   117   0.0095   0.0123
   118   0.0094   0.0124
   119   0.0094   0.0127
   120   0.0094   0.0128
   121   0.0093   0.0124
   122   0.0092   0.0124
   123   0.0091   0.0121
   124   0.0091   0.0121
   125   0.0091   0.0120
   126   0.0091   0.0121
   127   0.0090   0.0121
   128   0.0090   0.0123
   129   0.0090   0.0124
   130   0.0090   0.0124
   131   0.0090   0.0123
   132   0.0090   0.0122
   133   0.0090   0.0121
   134   0.0090   0.0121
   135   0.0089   0.0125
   136   0.0089   0.0132
   137   0.0088   0.0140
   138   0.0088   0.0140
   139   0.0088   0.0140
   140   0.0088   0.0130
   141   0.0088   0.0132
   142   0.0088   0.0132
   143   0.0088   0.0132
   144   0.0088   0.0131
   145   0.0087   0.0131
   146   0.0087   0.0131
   147   0.0087   0.0130
   148   0.0087   0.0129
   149   0.0086   0.0127
   150   0.0085   0.0129
   151   0.0085   0.0129
   152   0.0085   0.0131
   153   0.0085   0.0135
   154   0.0085   0.0137
   155   0.0085   0.0137
   156   0.0085   0.0137
   157   0.0085   0.0140
   158   0.0085   0.0139
   159   0.0085   0.0138
   160   0.0084   0.0137
   161   0.0084   0.0137
   162   0.0084   0.0137
   163   0.0083   0.0136
   164   0.0083   0.0136
   165   0.0083   0.0135
   166   0.0083   0.0137
   167   0.0083   0.0134
   168   0.0083   0.0135
   169   0.0082   0.0137
   170   0.0082   0.0139
   171   0.0082   0.0139
   172   0.0082   0.0139
   173   0.0082   0.0139
   174   0.0082   0.0140
   175   0.0082   0.0141
   176   0.0082   0.0142
   177   0.0081   0.0141
   178   0.0081   0.0142
   179   0.0081   0.0141
   180   0.0081   0.0143
   181   0.0081   0.0141
   182   0.0081   0.0139
   183   0.0081   0.0139
   184   0.0081   0.0136
   185   0.0081   0.0137
   186   0.0080   0.0136
   187   0.0080   0.0135
   188   0.0080   0.0134
   189   0.0080   0.0133
   190   0.0080   0.0132
   191   0.0080   0.0131
   192   0.0080   0.0131
   193   0.0080   0.0130
   194   0.0079   0.0128
   195   0.0079   0.0127
   196   0.0079   0.0127
   197   0.0079   0.0125
   198   0.0079   0.0126
   199   0.0079   0.0126
   200   0.0079   0.0126
   201   0.0078   0.0125
   202   0.0078   0.0124
   203   0.0078   0.0123
   204   0.0078   0.0122
   205   0.0078   0.0120
   206   0.0078   0.0118
   207   0.0078   0.0116
   208   0.0078   0.0115
   209   0.0078   0.0113
   210   0.0078   0.0111
   211   0.0077   0.0110
   212   0.0077   0.0109
   213   0.0077   0.0108
   214   0.0077   0.0109
   215   0.0077   0.0111
   216   0.0077   0.0114
   217   0.0077   0.0115
   218   0.0077   0.0114
   219   0.0077   0.0115
   220   0.0076   0.0114
   221   0.0076   0.0114
   222   0.0076   0.0113
   223   0.0076   0.0112
   224   0.0076   0.0111
   225   0.0076   0.0109
   226   0.0076   0.0108
   227   0.0076   0.0108
   228   0.0076   0.0107
   229   0.0076   0.0107
   230   0.0076   0.0107
   231   0.0076   0.0108
   232   0.0076   0.0108
   233   0.0076   0.0108
   234   0.0076   0.0108
   235   0.0076   0.0107
   236   0.0076   0.0107
   237   0.0076   0.0107
   238   0.0076   0.0107
