#     it    Ltra    Lval
     1   0.2587   0.2567
     2   0.2065   0.1763
     3   0.1982   0.1761
     4   0.1981   0.1761
     5   0.1978   0.1762
     6   0.1972   0.1778
     7   0.1964   0.1816
     8   0.1954   0.1792
     9   0.1946   0.1694
    10   0.1943   0.1683
    11   0.1928   0.1685
    12   0.1902   0.1714
    13   0.1886   0.1747
    14   0.1878   0.1692
    15   0.1864   0.1716
    16   0.1799   0.1684
    17   0.1767   0.1771
    18   0.1746   0.1679
    19   0.1691   0.1556
    20   0.1668   0.1568
    21   0.1662   0.1617
    22   0.1643   0.1432
    23   0.1620   0.1441
    24   0.1594   0.1510
    25   0.1578   0.1463
    26   0.1555   0.1440
    27   0.1518   0.1351
    28   0.1494   0.1449
    29   0.1477   0.1330
    30   0.1448   0.1323
    31   0.1433   0.1269
    32   0.1419   0.1307
    33   0.1405   0.1292
    34   0.1399   0.1276
    35   0.1388   0.1260
    36   0.1379   0.1128
    37   0.1362   0.1223
    38   0.1354   0.1235
    39   0.1333   0.1213
    40   0.1308   0.1175
    41   0.1277   0.1069
    42   0.1239   0.1066
    43   0.1228   0.1001
    44   0.1221   0.1007
    45   0.1202   0.1027
    46   0.1190   0.0910
    47   0.1186   0.0974
    48   0.1180   0.0974
    49   0.1176   0.0962
    50   0.1168   0.1007
    51   0.1160   0.0926
    52   0.1157   0.0931
    53   0.1151   0.0962
    54   0.1147   0.0975
    55   0.1136   0.0932
    56   0.1123   0.0909
    57   0.1115   0.0708
    58   0.1106   0.0827
    59   0.1101   0.0781
    60   0.1096   0.0760
    61   0.1084   0.0734
    62   0.1076   0.0709
    63   0.1070   0.0716
    64   0.1064   0.0715
    65   0.1059   0.0668
    66   0.1058   0.0676
    67   0.1055   0.0658
    68   0.1052   0.0646
    69   0.1047   0.0668
    70   0.1042   0.0677
    71   0.1036   0.0708
    72   0.1025   0.0638
    73   0.1023   0.0724
    74   0.1019   0.0660
    75   0.1016   0.0642
    76   0.1011   0.0650
    77   0.1011   0.0617
    78   0.1010   0.0634
    79   0.1010   0.0633
    80   0.1010   0.0632
    81   0.1008   0.0630
    82   0.1008   0.0625
    83   0.1006   0.0631
    84   0.1004   0.0606
    85   0.1003   0.0632
    86   0.1002   0.0600
    87   0.1002   0.0598
    88   0.1001   0.0591
    89   0.1000   0.0591
    90   0.0999   0.0584
    91   0.0996   0.0582
    92   0.0995   0.0553
    93   0.0994   0.0558
    94   0.0993   0.0573
    95   0.0991   0.0562
    96   0.0990   0.0568
    97   0.0989   0.0577
    98   0.0988   0.0574
    99   0.0986   0.0565
   100   0.0982   0.0539
   101   0.0981   0.0552
   102   0.0980   0.0563
   103   0.0980   0.0566
   104   0.0979   0.0552
   105   0.0979   0.0546
   106   0.0978   0.0550
   107   0.0978   0.0547
   108   0.0977   0.0544
   109   0.0976   0.0551
   110   0.0975   0.0541
   111   0.0973   0.0507
   112   0.0972   0.0518
   113   0.0972   0.0528
   114   0.0971   0.0519
   115   0.0971   0.0517
   116   0.0971   0.0517
   117   0.0971   0.0508
   118   0.0970   0.0508
   119   0.0970   0.0506
   120   0.0970   0.0503
   121   0.0969   0.0500
   122   0.0968   0.0499
   123   0.0967   0.0481
   124   0.0967   0.0495
   125   0.0966   0.0499
   126   0.0966   0.0501
   127   0.0965   0.0497
   128   0.0965   0.0499
   129   0.0965   0.0510
   130   0.0964   0.0505
   131   0.0964   0.0503
   132   0.0963   0.0518
   133   0.0963   0.0493
   134   0.0963   0.0501
   135   0.0962   0.0506
   136   0.0962   0.0505
   137   0.0962   0.0502
   138   0.0962   0.0504
   139   0.0962   0.0506
   140   0.0962   0.0494
   141   0.0962   0.0506
   142   0.0961   0.0502
   143   0.0961   0.0501
   144   0.0961   0.0506
   145   0.0961   0.0505
   146   0.0960   0.0504
   147   0.0960   0.0507
   148   0.0960   0.0489
   149   0.0959   0.0494
   150   0.0959   0.0493
   151   0.0959   0.0497
   152   0.0959   0.0496
   153   0.0959   0.0498
   154   0.0959   0.0502
   155   0.0959   0.0497
   156   0.0959   0.0498
   157   0.0959   0.0499
   158   0.0958   0.0497
   159   0.0958   0.0501
   160   0.0958   0.0490
   161   0.0957   0.0497
   162   0.0957   0.0487
   163   0.0957   0.0488
   164   0.0957   0.0485
   165   0.0957   0.0487
   166   0.0957   0.0481
   167   0.0957   0.0484
   168   0.0956   0.0486
   169   0.0956   0.0485
   170   0.0956   0.0489
   171   0.0955   0.0495
   172   0.0955   0.0494
   173   0.0955   0.0490
   174   0.0954   0.0491
   175   0.0954   0.0490
   176   0.0954   0.0491
   177   0.0954   0.0490
   178   0.0954   0.0488
   179   0.0954   0.0491
   180   0.0954   0.0489
   181   0.0954   0.0488
   182   0.0954   0.0485
   183   0.0954   0.0484
   184   0.0954   0.0488
   185   0.0954   0.0482
   186   0.0954   0.0484
   187   0.0954   0.0488
   188   0.0954   0.0487
   189   0.0954   0.0486
   190   0.0954   0.0485
   191   0.0954   0.0483
