#     it    Ltra    Lval
     1   0.2587   0.2567
     2   0.2065   0.1763
     3   0.1982   0.1761
     4   0.1981   0.1761
     5   0.1978   0.1762
     6   0.1972   0.1778
     7   0.1964   0.1816
     8   0.1954   0.1792
     9   0.1946   0.1694
    10   0.1943   0.1683
    11   0.1928   0.1685
    12   0.1902   0.1714
    13   0.1886   0.1747
    14   0.1878   0.1692
    15   0.1864   0.1716
    16   0.1799   0.1684
    17   0.1767   0.1771
    18   0.1746   0.1679
    19   0.1691   0.1556
    20   0.1668   0.1569
    21   0.1662   0.1615
    22   0.1643   0.1426
    23   0.1619   0.1440
    24   0.1594   0.1514
    25   0.1578   0.1465
    26   0.1557   0.1438
    27   0.1521   0.1358
    28   0.1490   0.1354
    29   0.1464   0.1342
    30   0.1439   0.1311
    31   0.1428   0.1354
    32   0.1423   0.1278
    33   0.1405   0.1244
    34   0.1399   0.1276
    35   0.1392   0.1283
    36   0.1388   0.1315
    37   0.1380   0.1279
    38   0.1370   0.1227
    39   0.1357   0.1188
    40   0.1324   0.1140
    41   0.1309   0.1143
    42   0.1301   0.1165
    43   0.1276   0.1133
    44   0.1250   0.1060
    45   0.1218   0.1039
    46   0.1211   0.0869
    47   0.1196   0.0896
    48   0.1191   0.0928
    49   0.1187   0.0986
    50   0.1182   0.0973
    51   0.1174   0.0952
    52   0.1167   0.0916
    53   0.1161   0.0935
    54   0.1153   0.0891
    55   0.1151   0.0920
    56   0.1147   0.0938
    57   0.1140   0.0900
    58   0.1133   0.0953
    59   0.1121   0.0897
    60   0.1115   0.0887
    61   0.1110   0.0876
    62   0.1102   0.0854
    63   0.1094   0.0889
    64   0.1086   0.0813
    65   0.1082   0.0814
    66   0.1080   0.0803
    67   0.1078   0.0802
    68   0.1074   0.0735
    69   0.1072   0.0774
    70   0.1071   0.0764
    71   0.1067   0.0768
    72   0.1063   0.0790
    73   0.1061   0.0796
    74   0.1058   0.0787
    75   0.1053   0.0741
    76   0.1050   0.0723
    77   0.1047   0.0749
    78   0.1046   0.0715
    79   0.1044   0.0705
    80   0.1043   0.0703
    81   0.1039   0.0686
    82   0.1037   0.0682
    83   0.1033   0.0664
    84   0.1030   0.0700
    85   0.1027   0.0697
    86   0.1025   0.0712
    87   0.1024   0.0694
    88   0.1023   0.0693
    89   0.1022   0.0696
    90   0.1020   0.0675
    91   0.1020   0.0687
    92   0.1019   0.0677
    93   0.1018   0.0664
    94   0.1018   0.0659
    95   0.1018   0.0657
    96   0.1018   0.0657
    97   0.1017   0.0659
    98   0.1017   0.0658
    99   0.1017   0.0653
   100   0.1016   0.0639
   101   0.1016   0.0639
   102   0.1016   0.0637
   103   0.1015   0.0649
   104   0.1015   0.0652
   105   0.1015   0.0648
   106   0.1015   0.0653
   107   0.1014   0.0650
   108   0.1014   0.0645
   109   0.1014   0.0640
   110   0.1013   0.0627
   111   0.1012   0.0620
   112   0.1011   0.0623
   113   0.1010   0.0623
   114   0.1009   0.0598
   115   0.1009   0.0612
   116   0.1008   0.0630
   117   0.1007   0.0628
   118   0.1005   0.0640
   119   0.1002   0.0642
   120   0.0999   0.0638
   121   0.0997   0.0642
   122   0.0996   0.0606
   123   0.0994   0.0649
   124   0.0993   0.0609
   125   0.0991   0.0623
   126   0.0990   0.0623
   127   0.0988   0.0637
   128   0.0985   0.0626
   129   0.0984   0.0633
   130   0.0983   0.0605
   131   0.0983   0.0607
   132   0.0982   0.0602
   133   0.0982   0.0601
   134   0.0982   0.0603
   135   0.0981   0.0609
   136   0.0980   0.0627
   137   0.0979   0.0629
   138   0.0979   0.0625
   139   0.0978   0.0640
   140   0.0977   0.0628
   141   0.0977   0.0627
   142   0.0976   0.0620
   143   0.0976   0.0615
   144   0.0976   0.0619
   145   0.0975   0.0615
   146   0.0975   0.0616
   147   0.0975   0.0618
   148   0.0975   0.0619
   149   0.0975   0.0619
   150   0.0975   0.0617
   151   0.0975   0.0620
   152   0.0974   0.0607
   153   0.0974   0.0599
   154   0.0974   0.0595
   155   0.0974   0.0599
   156   0.0973   0.0598
   157   0.0973   0.0601
   158   0.0973   0.0605
   159   0.0973   0.0607
   160   0.0973   0.0609
   161   0.0973   0.0607
   162   0.0973   0.0605
   163   0.0972   0.0598
   164   0.0972   0.0602
   165   0.0972   0.0602
   166   0.0972   0.0603
   167   0.0972   0.0600
   168   0.0972   0.0598
   169   0.0972   0.0601
   170   0.0971   0.0604
   171   0.0971   0.0608
   172   0.0971   0.0608
   173   0.0971   0.0611
   174   0.0971   0.0612
   175   0.0971   0.0604
   176   0.0971   0.0606
   177   0.0971   0.0599
   178   0.0970   0.0598
   179   0.0970   0.0590
   180   0.0970   0.0595
   181   0.0970   0.0598
   182   0.0970   0.0600
   183   0.0970   0.0601
   184   0.0970   0.0597
   185   0.0970   0.0593
   186   0.0970   0.0587
   187   0.0970   0.0586
   188   0.0970   0.0587
   189   0.0970   0.0590
   190   0.0970   0.0591
   191   0.0969   0.0593
