#     it    Ltra    Lval
     1   0.3395   0.3928
     2   0.3298   0.3805
     3   0.3210   0.3622
     4   0.3146   0.3619
     5   0.3138   0.3614
     6   0.3113   0.3618
     7   0.3092   0.3642
     8   0.3057   0.3682
     9   0.3024   0.3697
    10   0.2994   0.3703
    11   0.2959   0.3705
    12   0.2949   0.3738
    13   0.2926   0.3784
    14   0.2900   0.3743
    15   0.2862   0.3657
    16   0.2839   0.3652
    17   0.2819   0.3582
    18   0.2809   0.3617
    19   0.2775   0.3532
    20   0.2736   0.3416
    21   0.2669   0.3432
    22   0.2625   0.3477
    23   0.2571   0.3575
    24   0.2529   0.3582
    25   0.2436   0.3476
    26   0.2400   0.3228
    27   0.2343   0.3203
    28   0.2323   0.3236
    29   0.2292   0.3254
    30   0.2265   0.3224
    31   0.2236   0.3193
    32   0.2175   0.3072
    33   0.2103   0.2908
    34   0.2055   0.2836
    35   0.1971   0.2799
    36   0.1912   0.2810
    37   0.1851   0.2691
    38   0.1766   0.2498
    39   0.1692   0.2348
    40   0.1626   0.2206
    41   0.1564   0.2050
    42   0.1529   0.2021
    43   0.1458   0.1997
    44   0.1416   0.1936
    45   0.1396   0.1900
    46   0.1373   0.1858
    47   0.1329   0.1792
    48   0.1273   0.1684
    49   0.1229   0.1618
    50   0.1171   0.1519
    51   0.1141   0.1476
    52   0.1114   0.1450
    53   0.1095   0.1412
    54   0.1083   0.1394
    55   0.1057   0.1347
    56   0.1045   0.1308
    57   0.1027   0.1293
    58   0.1017   0.1265
    59   0.1007   0.1238
    60   0.0992   0.1196
    61   0.0977   0.1161
    62   0.0955   0.1111
    63   0.0942   0.1101
    64   0.0930   0.1066
    65   0.0916   0.1053
    66   0.0893   0.1034
    67   0.0869   0.0984
    68   0.0859   0.0985
    69   0.0838   0.0964
    70   0.0823   0.0933
    71   0.0804   0.0904
    72   0.0791   0.0851
    73   0.0780   0.0872
    74   0.0776   0.0865
    75   0.0764   0.0834
    76   0.0756   0.0814
    77   0.0750   0.0825
    78   0.0748   0.0814
    79   0.0746   0.0809
    80   0.0742   0.0799
