#     it    Ltra    Lval
     1   0.3395   0.3928
     2   0.3298   0.3805
     3   0.3210   0.3622
     4   0.3146   0.3619
     5   0.3138   0.3614
     6   0.3113   0.3618
     7   0.3092   0.3642
     8   0.3057   0.3682
     9   0.3024   0.3697
    10   0.2994   0.3703
    11   0.2959   0.3705
    12   0.2949   0.3738
    13   0.2926   0.3784
    14   0.2900   0.3743
    15   0.2862   0.3657
    16   0.2839   0.3652
    17   0.2819   0.3582
    18   0.2809   0.3617
    19   0.2775   0.3532
    20   0.2736   0.3416
    21   0.2669   0.3432
    22   0.2625   0.3477
    23   0.2571   0.3575
    24   0.2529   0.3582
    25   0.2436   0.3476
    26   0.2400   0.3228
    27   0.2343   0.3203
    28   0.2323   0.3236
    29   0.2292   0.3254
    30   0.2265   0.3224
    31   0.2236   0.3193
    32   0.2175   0.3072
    33   0.2103   0.2908
    34   0.2054   0.2835
    35   0.1971   0.2798
    36   0.1912   0.2811
    37   0.1852   0.2694
    38   0.1768   0.2500
    39   0.1694   0.2354
    40   0.1628   0.2214
    41   0.1555   0.2041
    42   0.1539   0.2058
    43   0.1452   0.1975
    44   0.1418   0.1926
    45   0.1404   0.1907
    46   0.1375   0.1869
    47   0.1333   0.1820
    48   0.1286   0.1739
    49   0.1237   0.1634
    50   0.1201   0.1588
    51   0.1164   0.1523
    52   0.1136   0.1486
    53   0.1107   0.1448
    54   0.1082   0.1404
    55   0.1065   0.1356
    56   0.1048   0.1351
    57   0.1039   0.1336
    58   0.1021   0.1288
    59   0.1014   0.1260
    60   0.1001   0.1233
    61   0.0998   0.1230
    62   0.0987   0.1202
    63   0.0979   0.1193
    64   0.0967   0.1159
    65   0.0950   0.1119
    66   0.0937   0.1081
    67   0.0921   0.1085
    68   0.0901   0.1042
    69   0.0881   0.1003
    70   0.0858   0.0969
    71   0.0839   0.0959
    72   0.0828   0.0938
    73   0.0817   0.0924
    74   0.0798   0.0892
    75   0.0786   0.0870
    76   0.0771   0.0861
    77   0.0766   0.0835
    78   0.0763   0.0824
    79   0.0762   0.0838
    80   0.0750   0.0813
